Cust_1001,Mary,Owen,"47 Larchfield, Kilkenny",860266514,treeves@mac.com,Truck drive ,B00001,C00001
Cust_1002,Chris,Stafford,Hollybank Lane,860266515,skippy@att.net,Epidemiologist,B00002,C00002
Cust_1003,Kevin,Robinson,38 Gartner Ave. ,860266516,bjornk@yahoo.com,Maintenance Worker,B00003,C00003
Cust_1004,Jill,Murnane,Garden Villas,860266517,louise@optonline.net,Personal Care Aide,B00004,C00004
Cust_1005,Elaine,Greer,7 Primrose St. ,860266518,fwitness@msn.com,Psychologist,B00005,C00005
Cust_1006,Trish,Mckay,"Lake Mary, Kilkenny",860266519,timlinux@outlook.com,Art Director,B00006,C00006
Cust_1007,Anna,Hogan,42 Acacia Court ,860266520,eegsa@me.com,Auto Mechanic,B00007,C00007
Cust_1008,Orla,Daniel,Cedarwood Drive,860266521,"l, Kilkennylmer@me.com",Physician,B00008,C00008
Cust_1009,Helen,Ray,"40 Court street , Kilkenny ",860266522,oneiros@sbcglobal.net,Respiratory Therapist,B00009,C00009
Cust_1010,Afra,Broderick,"The Village, Carlow",860266523,feamster@sbcglobal.net,Administrator,B00010,C00001
Cust_1011,Breda,Maldonado,81 Bridgeton St. ,860266524,jbuchana@hotmail.com,Marketing Manager,B00011,C00002
Cust_1012,Leah,Rodgers,Grangemokler,860266525,heidrich@verizon.net,Real Estate Agent,B00012,C00003
Cust_1013,Laura,Mooney,"39 Border St, Kilkenny",860266526,jorgb@hotmail.com,Customer Service ,B00013,C00004
Cust_1014,Gwen,Hodge,"Ardnore, Kilkenny",860266527,konst@comcast.net,Editor,B00014,C00005
Cust_1015,Hazel,Dickson,"Union drive , Kilkenny ",860266528,eimear@att.net,Hairdresser,B00015,C00006
Cust_1016,Nicola,Norris,Carlow,860266529,rbarreira@optonline.net,Dancer,B00016,C00007
Cust_1017,Clare,Gibson,3 Bridle St. Kilkenny,860266530,harryh@mac.com,Systems Analyst,B00017,C00008
Cust_1018,Rachael,Pugh,"Middle River, Kilkenny",860266531,bastian@mac.com,Accountant,B00018,C00009
Cust_1019,Catherine,Kerr,133 Woodland Court,860266532,bancboy@sbcglobal.net,Electrician,B00019,C00001
Cust_1020,Dean,Ware,"Camp Hill, Kilkenny",860266533,rgiersig@gmail.com,Compliance Officer,B00020,C00002
Cust_1021,Leslie,Ballard,"Ridge St. , Kilkenny",860266534,wsnyder@verizon.net,Artist,B00021,C00003
Cust_1022,Mary,Watkins,"High Street , Kilkenny",860276522,airship@gmail.com,Designer,B00022,C00004
Cust_1023,Ria,Anthony,"45 Birchfiled, Kilkenny",860276535,ngedmond@msn.com,Registered Nurse,B00023,C00005
Cust_1024,Susan,Chandler,"Dawsonville, Kilkenny",860276536,plover@hotmail.com,Computer Programmer,B00024,C00006
Cust_1025,Sheila,Melton, Somerset Road ,860276537,grolschie@icloud.com,Economist,B00025,C00007
Cust_1026,Teresa,Ortega,"Larchfield, Kilkenny",860276538,mcast@hotmail.com,Microbiologist,B00026,C00008
Cust_1027,Ciara,Murphy,James Street,860276539,qmacro@comcast.net,Speech-Language ,B00027,C00009
Cust_1028,Kathleen,Rothwell,Kieran Street,860276540,jbearp@yahoo.com,Cost Estimator,B00028,C00005
Cust_1029,Sarah,Disney,"York street , Kilkenny ",860276541,engelen@yahoo.com,Officer,B00029,C00006
Cust_1030,Catherine,Samson,Gowran,860276542,agolomsh@outlook.com,Educator,B00030,C00007
